"id","year","season","scheme","state_name","state_code","district_count","farmer_count","loanee","non_loanee","area_insured","sum_insured","farmer_share","goi_share","state_share","male","female","transgender","sc","st","obc","gen","marginal","small","other","iu_count","gross_premium"
83,"2019-01-01","Kharif","PMFBY","Tamil Nadu","33",31.0,143860.0,143423.0,194338.0,155.12,109336.98,2849.13,4894.15,4894.15,80.97,19.0,0.03,4.84,0.48,47.31,47.37,15.81,74.27,9.92,9337.0,12637.43
84,"2019-01-01","Kharif","PMFBY","Telangana","36",32.0,484486.0,462537.0,85955.0,519.87,413485.48,8711.27,10107.05,10107.05,71.66,28.28,0.06,9.03,8.25,52.35,30.37,20.78,70.34,8.88,8518.0,28925.37
85,"2019-01-01","Kharif","PMFBY","Tripura","16",8.0,27707.0,1950.0,28985.0,5.32,3206.79,64.13,10.39,10.39,86.26,13.73,0.01,10.57,25.51,10.14,53.78,9.39,83.73,6.88,1025.0,84.91
86,"2019-01-01","Kharif","PMFBY","Uttar Pradesh","9",75.0,1911430.0,2282514.0,108511.0,1889.97,797166.29,15943.26,27994.06,27994.06,90.79,9.16,0.05,6.3,0.75,37.87,55.08,35.08,56.68,8.24,51452.0,71931.38
87,"2019-01-01","Kharif","PMFBY","Uttarakhand","5",13.0,80189.0,72104.0,19591.0,49.98,36080.28,603.7,46.95,46.95,89.91,10.06,0.03,8.81,11.44,16.7,63.05,23.62,70.64,5.74,234.0,697.6
88,"2019-01-01","Kharif","WBCIS","Andhra Pradesh","28",9.0,900315.0,1341300.0,285568.0,1540.22,1032730.73,10.0,34989.26,66847.2,73.18,26.75,0.07,5.31,3.05,44.12,47.52,19.36,58.43,22.21,365.0,101846.46
89,"2019-01-01","Kharif","WBCIS","Chhattisgarh","22",27.0,6843.0,6430.0,5610.0,7.21,7603.02,380.15,1027.94,1027.94,90.43,9.55,0.02,4.32,19.14,56.81,19.73,9.02,56.49,34.49,326.0,2436.03
90,"2019-01-01","Kharif","WBCIS","Himachal Pradesh","2",10.0,12238.0,12892.0,132.0,3.13,2944.53,147.23,59.46,59.46,93.11,6.86,0.03,11.31,2.15,5.31,81.23,51.54,45.16,3.3,39.0,266.15
91,"2019-01-01","Kharif","WBCIS","Karnataka","29",30.0,238573.0,188418.0,50155.0,0.1,1.21,0.06,0.16,0.16,85.5,14.5,0.0,1.85,2.19,20.24,75.72,21.68,39.11,39.21,7791.0,0.38
92,"2019-01-01","Kharif","WBCIS","Kerala","32",12.0,17964.0,17847.0,3988.0,14.09,10893.54,268.29,1666.93,1666.93,72.43,27.47,0.1,0.72,0.23,68.47,30.58,21.99,73.61,4.4,342.0,3602.15
93,"2019-01-01","Kharif","WBCIS","Madhya Pradesh","23",42.0,78690.0,93836.0,388.0,64.77,47860.37,2393.01,2557.66,2557.66,84.34,15.58,0.08,2.23,19.59,63.82,14.36,21.48,54.71,23.81,353.0,7508.33
94,"2019-01-01","Kharif","WBCIS","Maharashtra","27",25.0,202178.0,78656.0,157257.0,195.38,206355.0,10317.75,9418.4,9418.4,83.02,16.95,0.03,6.25,0.54,22.29,70.92,10.63,74.61,14.76,870.0,29154.55
95,"2019-01-01","Kharif","WBCIS","Rajasthan","8",10.0,11296.0,12092.0,0.0,13.63,5888.15,294.41,328.25,328.25,92.76,7.07,0.17,12.72,3.03,43.53,40.72,9.11,17.28,73.61,237.0,950.91
96,"2019-01-01","Kharif","WBCIS","Telangana","36",31.0,251762.0,209595.0,66676.0,275.01,248963.77,12448.18,19811.39,19811.39,71.69,28.26,0.05,9.06,17.74,47.59,25.61,19.6,72.06,8.34,511.0,52070.96
97,"2019-01-01","Kharif","WBCIS","Uttar Pradesh","9",15.0,5834.0,5922.0,140.0,2.85,3704.09,183.21,238.65,238.65,92.69,7.31,0.0,1.78,0.13,14.9,83.19,15.19,79.26,5.55,60.0,660.51
98,"2019-01-01","Kharif","WBCIS","Uttarakhand","5",11.0,41481.0,43262.0,4895.0,25.6,20551.38,1022.41,1709.61,1709.61,96.47,3.52,0.01,16.93,8.73,7.39,66.95,15.25,83.35,1.4,101.0,4441.63
99,"2019-01-01","Rabi","PMFBY","Assam","18",25.0,362512.0,7014.0,643586.0,344.4,277916.37,361.3,1050.56,7599.61,74.92,25.04,0.04,3.95,4.14,9.23,82.68,31.89,65.71,2.4,155.0,9011.47
100,"2019-01-01","Rabi","PMFBY","Chhattisgarh","22",25.0,135690.0,267564.0,39941.0,225.04,73079.54,1096.19,2424.06,2424.06,91.17,8.74,0.09,9.21,7.81,73.95,9.03,20.65,51.27,28.08,4137.0,5944.31
101,"2019-01-01","Rabi","PMFBY","Goa","30",2.0,49.0,145.0,0.0,0.04,20.04,0.3,0.43,0.43,80.0,20.0,0.0,0.0,9.66,48.97,41.37,55.17,17.93,26.9,6.0,1.17
102,"2019-01-01","Rabi","PMFBY","Gujarat","24",10.0,263.0,30.0,321.0,0.07,23.76,0.45,0.26,0.26,92.02,7.98,0.0,5.41,9.12,42.17,43.3,5.41,89.74,4.85,37.0,0.97
103,"2019-01-01","Rabi","PMFBY","Haryana","6",22.0,692526.0,888615.0,18651.0,1157.62,696248.61,10443.71,13503.01,13503.01,91.66,8.29,0.05,0.6,0.05,14.14,85.21,19.19,57.58,23.23,6847.0,37449.73
104,"2019-01-01","Rabi","PMFBY","Himachal Pradesh","2",10.0,89714.0,92353.0,1057.0,35.0,10500.27,157.49,391.86,391.86,92.21,7.77,0.02,5.27,2.69,8.69,83.35,36.99,56.51,6.5,129.0,941.21
105,"2019-01-01","Rabi","PMFBY","Jharkhand","20",24.0,25411.0,18217.0,9129.0,14.12,8223.92,137.36,148.54,148.54,76.57,23.37,0.06,8.02,25.75,44.32,21.91,39.55,56.04,4.41,1719.0,434.44
106,"2019-01-01","Rabi","PMFBY","Karnataka","29",30.0,10611.0,7374.0,3237.0,0.01,0.08,0.0,0.0,0.0,83.1,16.9,0.0,2.15,2.33,23.0,72.52,15.34,40.96,43.7,1483.0,0.0
107,"2019-01-01","Rabi","PMFBY","Kerala","32",14.0,6844.0,9300.0,365.0,5.73,5093.71,88.52,56.11,56.11,62.88,36.79,0.33,0.54,0.06,18.37,81.03,40.46,55.81,3.73,327.0,200.74
108,"2019-01-01","Rabi","PMFBY","Madhya Pradesh","23",52.0,2010148.0,3767592.0,25818.0,5198.02,1468172.58,22011.17,41594.91,41594.91,89.16,10.68,0.16,5.09,6.07,59.49,29.35,13.38,49.24,37.38,19051.0,105200.99
109,"2019-01-01","Rabi","PMFBY","Maharashtra","27",21.0,656565.0,86555.0,1372825.0,805.17,222764.62,3762.32,19220.47,19220.47,80.04,19.94,0.02,3.6,0.96,20.4,75.04,6.77,86.42,6.81,2731.0,42203.26
110,"2019-01-01","Rabi","PMFBY","Odisha","21",30.0,63110.0,188743.0,13921.0,66.21,44586.91,666.52,212.18,212.18,91.65,8.25,0.1,6.92,7.44,66.22,19.42,13.51,72.12,14.37,914.0,1090.88
111,"2019-01-01","Rabi","PMFBY","Puducherry","34",2.0,8961.0,17.0,23738.0,19.47,13136.87,212.01,243.53,243.53,69.57,30.33,0.1,7.27,0.23,63.76,28.74,0.64,99.18,0.18,107.0,699.07
