timestamp,district,grid_lat,grid_lon,seasonal_rain_mm,seasonal_rain_threshold_90,actual_rain_mm
2022-06-01 00:00:00,LAT11.75_LON78.25,11.75,78.25,626.4026,2246.41,1.7162
2022-06-01 00:00:00,LAT11.75_LON78.5,11.75,78.5,468.6742,2246.41,1.284
2022-06-01 00:00:00,LAT11.75_LON78.75,11.75,78.75,1097.2264,2246.41,3.0061
2022-06-01 00:00:00,LAT11.75_LON79.0,11.75,79.0,956.4919,2246.41,2.6205
2022-06-01 00:00:00,LAT11.75_LON79.25,11.75,79.25,1090.9727,2246.41,2.989
2022-06-01 00:00:00,LAT11.75_LON79.5,11.75,79.5,1408.5684,2246.41,3.8591
2022-06-01 00:00:00,LAT11.75_LON79.75,11.75,79.75,1371.3754,2246.41,3.7572
2022-06-01 00:00:00,LAT12.0_LON75.0,12.0,75.0,3161.3416,2246.41,8.6612
2022-06-01 00:00:00,LAT12.0_LON75.25,12.0,75.25,3130.8015,2246.41,8.5775
2022-06-01 00:00:00,LAT12.0_LON75.5,12.0,75.5,3237.6775,2246.41,8.8703
2022-06-01 00:00:00,LAT12.0_LON75.75,12.0,75.75,2315.365,2246.41,6.3435
2022-06-01 00:00:00,LAT12.0_LON76.0,12.0,76.0,1718.949,2246.41,4.7094
2022-06-01 00:00:00,LAT12.0_LON76.25,12.0,76.25,1341.361,2246.41,3.675
2022-06-01 00:00:00,LAT12.0_LON76.5,12.0,76.5,1424.9324,2246.41,3.9039
2022-06-01 00:00:00,LAT12.0_LON76.75,12.0,76.75,1668.9354,2246.41,4.5724
2022-06-01 00:00:00,LAT12.0_LON77.0,12.0,77.0,1248.3033,2246.41,3.42
2022-06-01 00:00:00,LAT12.0_LON77.25,12.0,77.25,1230.2434,2246.41,3.3705
2022-06-01 00:00:00,LAT12.0_LON77.5,12.0,77.5,1333.958,2246.41,3.6547
2022-06-01 00:00:00,LAT12.0_LON77.75,12.0,77.75,1275.3271,2246.41,3.494
2022-06-01 00:00:00,LAT12.0_LON78.0,12.0,78.0,925.6739,2246.41,2.5361
2022-06-01 00:00:00,LAT12.0_LON78.25,12.0,78.25,1097.8381,2246.41,3.0078
2022-06-01 00:00:00,LAT12.0_LON78.5,12.0,78.5,804.7898,2246.41,2.2049
2022-06-01 00:00:00,LAT12.0_LON78.75,12.0,78.75,1072.1763,2246.41,2.9375
2022-06-01 00:00:00,LAT12.0_LON79.0,12.0,79.0,787.2707,2246.41,2.1569
2022-06-01 00:00:00,LAT12.0_LON79.25,12.0,79.25,1004.0132,2246.41,2.7507
2022-06-01 00:00:00,LAT12.0_LON79.5,12.0,79.5,1038.8959,2246.41,2.8463
2022-06-01 00:00:00,LAT12.0_LON79.75,12.0,79.75,1249.7294,2246.41,3.4239
2022-06-01 00:00:00,LAT12.25_LON75.0,12.25,75.0,3320.6975,2246.41,9.0978
2022-06-01 00:00:00,LAT12.25_LON75.25,12.25,75.25,4745.628,2246.41,13.0017
2022-06-01 00:00:00,LAT12.25_LON75.5,12.25,75.5,4527.025,2246.41,12.4028
2022-06-01 00:00:00,LAT12.25_LON75.75,12.25,75.75,2869.8564,2246.41,7.8626
2022-06-01 00:00:00,LAT12.25_LON76.0,12.25,76.0,1589.9834,2246.41,4.3561
2022-06-01 00:00:00,LAT12.25_LON76.25,12.25,76.25,1501.3195,2246.41,4.1132
2022-06-01 00:00:00,LAT12.25_LON76.5,12.25,76.5,1570.0148,2246.41,4.3014
2022-06-01 00:00:00,LAT12.25_LON76.75,12.25,76.75,1548.9535,2246.41,4.2437
2022-06-01 00:00:00,LAT12.25_LON77.0,12.25,77.0,1357.1921,2246.41,3.7183
2022-06-01 00:00:00,LAT12.25_LON77.25,12.25,77.25,1251.8079,2246.41,3.4296
2022-06-01 00:00:00,LAT12.25_LON77.5,12.25,77.5,1297.2122,2246.41,3.554
2022-06-01 00:00:00,LAT12.25_LON77.75,12.25,77.75,1286.0167,2246.41,3.5233
2022-06-01 00:00:00,LAT12.25_LON78.0,12.25,78.0,1081.1959,2246.41,2.9622
2022-06-01 00:00:00,LAT12.25_LON78.25,12.25,78.25,1260.7638,2246.41,3.4541
2022-06-01 00:00:00,LAT12.25_LON78.5,12.25,78.5,1343.8251,2246.41,3.6817
2022-06-01 00:00:00,LAT12.25_LON78.75,12.25,78.75,1125.4249,2246.41,3.0834
2022-06-01 00:00:00,LAT12.25_LON79.0,12.25,79.0,1022.4695,2246.41,2.8013
2022-06-01 00:00:00,LAT12.25_LON79.25,12.25,79.25,1052.233,2246.41,2.8828
2022-06-01 00:00:00,LAT12.25_LON79.5,12.25,79.5,1045.0206,2246.41,2.8631
2022-06-01 00:00:00,LAT12.25_LON79.75,12.25,79.75,1327.6658,2246.41,3.6374
2022-06-01 00:00:00,LAT12.5_LON75.0,12.5,75.0,4191.346,2246.41,11.4831
2022-06-01 00:00:00,LAT12.5_LON75.25,12.5,75.25,4853.2188,2246.41,13.2965
2022-06-01 00:00:00,LAT12.5_LON75.5,12.5,75.5,4551.711,2246.41,12.4704
